File No,Team 1,Team 1 Runs,Team 1 Wickets,Team 2,Team 2 Runs,Team 2 Wickets,Gender,Season,Date,Series,Competition,Match Number,Venue,City,Neutral Venue,Toss Winner,Toss Decision,Player of Match,Umpire 1,Umpire 2,Reserve Umpire,TV Umpire,Match Referee,Winner,Outcome,Winner Runs,Winner Wickets,Method
913625.csv,England,254,7,Sri Lanka,256,0,male,2016,2016/06/24,Sri Lanka in England ODI Series,,2,Edgbaston,Birmingham,,Sri Lanka,bat,JJ Roy,MA Gough,BNJ Oxenford,RT Robinson,PR Reiffel,DC Boon,England,,,10,
291359.csv,Australia,194,10,India,51,3,male,2007/08,2008/02/03,,Commonwealth Bank Series,1,"""Brisbane Cricket Ground",Brisbane,,India,bat,,SJ Davis,RE Koertzen,NS McNamara,BNJ Oxenford,JJ Crowe,,no result,,,
1004255.csv,Papua New Guinea,212,10,Namibia,213,4,male,2016/17,2016/10/23,,"""ICC World Cricket League Championship",30,Amini Park,Port Moresby,,Namibia,bat,,CM Brown,A Kapa,L Oala,,SR Bernard,Papua New Guinea,,,6,
521220.csv,India,298,4,England,300,5,male,2011/12,2011/10/20,England in India ODI Series,,3,"""Punjab Cricket Association Stadium",Chandigarh,,England,bat,AM Rahane,S Asnani,BF Bowden,VA Kulkarni,S Ravi,RS Mahanama,India,,,5,
676533.csv,India,263,5,West Indies,266,5,male,2013/14,2013/11/27,West Indies in India ODI Series,,3,Green Park,Kanpur,,India,field,S Dhawan,AK Chaudhary,RJ Tucker,K Bharatan,VA Kulkarni,DC Boon,India,,,5,
656475.csv,India,287,10,Zimbabwe,288,4,male,2014/15,2015/03/14,,ICC Cricket World Cup,39,Eden Park,Auckland,true,India,field,SK Raina,CB Gaffaney,BNJ Oxenford,SJ Davis,RJ Tucker,RS Mahanama,India,,,6,
514035.csv,South Africa,301,8,Sri Lanka,43,10,male,2011/12,2012/01/11,Sri Lanka in South Africa ODI Series,,1,Boland Park,Paarl,,South Africa,bat,M Morkel,BR Doctrove,M Erasmus,JD Cloete,RA Kettleborough,JJ Crowe,South Africa,,258,,
247481.csv,West Indies,322,6,Australia,219,10,male,2006/07,"2    2007/03/27 - 2007/03/28
dtype: object",,ICC World Cup,25,"""Sir Vivian Richards Stadium",Antigua,,West Indies,field,ML Hayden,Aleem Dar,Asad Rauf,RE Koertzen,BF Bowden,BC Broad,Australia,,103,,
656403.csv,South Africa,339,4,Zimbabwe,277,10,male,2014/15,2015/02/15,,ICC Cricket World Cup,3,Seddon Park,Hamilton,true,Zimbabwe,field,DA Miller,REJ Martinesz,RJ Tucker,RSA Palliyaguruge,PR Reiffel,RS Mahanama,South Africa,,62,,
291345.csv,Australia,254,7,New Zealand,255,3,male,2007/08,2007/12/14,Chappell-Hadlee Trophy,,1,Adelaide Oval,,,New Zealand,bat,RT Ponting,MR Benson,SJ Davis,SD Fry,BNJ Oxenford,RS Mahanama,Australia,,,7,
406195.csv,Australia,324,7,West Indies,274,8,male,2009/10,2010/02/14,West Indies in Australia ODI Series,,4,"""Brisbane Cricket Ground",Brisbane,,West Indies,field,RT Ponting,BF Bowden,PR Reiffel,NS McNamara,BNJ Oxenford,J Srinath,Australia,,50,,
745159.csv,Sri Lanka,275,7,Pakistan,277,6,male,2014,2014/08/23,Pakistan in Sri Lanka ODI Series,,1,"""Mahinda Rajapaksa International Cricket Stadium",Hambantota,,Pakistan,field,Sohaib Maqsood,RSA Palliyaguruge,S Ravi,RR Wimalasiri,SJ Davis,AJ Pycroft,Pakistan,,,4,D/L
527016.csv,Zimbabwe,328,5,New Zealand,329,9,male,2011/12,2011/10/25,New Zealand in Zimbabwe ODI Series,,3,Queens Sports Club,Bulawayo,,New Zealand,bat,MN Waller,O Chirombe,BNJ Oxenford,C Phiri,TJ Matibiri,BC Broad,Zimbabwe,,,1,
1073413.csv,Bangladesh,100,10,South Africa,101,4,female,2016/17,2017/02/11,,ICC Women's World Cup Qualifier,13,P Sara Oval,Colombo,true,Bangladesh,bat,S Ismail,AK Chaudhary,JM Williams,PN Udawatta,,,South Africa,,,6,
749557.csv,Singapore,186,8,Oman,187,8,male,2014,2014/06/25,,ICC World Cricket League Division Four,,Kallang Ground,Singapore,,Singapore,field,CR Kumarage,Ahmed Shah Durrani,DA Haggo,N Mohanty,,SR Bernard,Singapore,,,2,
416239.csv,India,250,10,Australia,226,10,male,2009/10,2009/11/02,Australia in India ODI Series,,4,"""Punjab Cricket Association Stadium",Chandigarh,,India,field,SR Watson,EAR de Silva,AM Saheba,S Asnani,SS Hazare,BC Broad,Australia,,24,,
935819.csv,South Africa,208,8,New Zealand,113,9,female,2016/17,2016/10/19,New Zealand Women in South Africa ODI Series,,5,Boland Park,Paarl,,New Zealand,bat,NC Dodd,A Paleker,BM White,RN Hendricks,,GH Pienaar,New Zealand,,95,,
247495.csv,New Zealand,219,7,Sri Lanka,222,4,male,2006/07,2007/04/12,,ICC World Cup,39,"""National Cricket Stadium",Grenada,true,New Zealand,bat,WPUJC Vaas,Asad Rauf,BR Doctrove,MR Benson,Aleem Dar,MJ Procter,Sri Lanka,,,6,
1144509.csv,England,232,9,Sri Lanka,212,10,male,2019,2019/06/21,,World Cup,27,Headingley,Leeds,,Sri Lanka,bat,SL Malinga,P Wilson,M Erasmus,PR Reiffel,BNJ Oxenford,RB Richardson,Sri Lanka,,20,,
1020037.csv,New Zealand,279,8,South Africa,280,3,male,2016/17,2017/03/01,South Africa in New Zealand ODI Series,,4,Seddon Park,Hamilton,,South Africa,bat,MJ Guptill,WR Knights,PR Reiffel,SB Haig,JS Wilson,J Srinath,New Zealand,,,7,
1022359.csv,Pakistan,219,8,South Africa,119,3,male,2017,2017/06/07,,ICC Champions Trophy,7,Edgbaston,Birmingham,true,South Africa,bat,Hasan Ali,RK Illingworth,S Ravi,NJ Llong,HDPK Dharmasena,BC Broad,Pakistan,,19,,D/L
1040499.csv,Afghanistan,229,10,Ireland,231,3,male,2016/17,2017/03/24,Afghanistan v Ireland ODI Series,,5,Greater Noida Sports Complex Ground,Greater Noida,true,Ireland,bat,Rahmat Shah,Ahmed Shah Pakteen,Nitin Menon,Bismillah Shinwari,AK Chaudhary,GF Labrooy,Afghanistan,,,7,
895807.csv,Australia,309,3,India,310,5,male,2015/16,2016/01/12,India in Australia ODI Series,,1,Western Australia Cricket Association Ground,Perth,,India,bat,SPD Smith,SD Fry,RA Kettleborough,GC Joshua,MD Martell,JJ Crowe,Australia,,,5,
423783.csv,New Zealand,336,9,Bangladesh,190,10,male,2009/10,2010/02/05,Bangladesh in New Zealand ODI Series,,1,McLean Park,Napier,,New Zealand,bat,JDP Oram,RA Kettleborough,EA Watkin,CB Gaffaney,GAV Baxter,AG Hurst,New Zealand,,146,,
749571.csv,Denmark,275,9,Italy,240,9,male,2014,2014/06/28,,ICC World Cricket League Division Four,,Singapore Cricket Club,Padang,true,Denmark,bat,HAM Shah,Akbar Ali,N Morrison,B Manikandan,,SR Bernard,Denmark,,35,,
828245.csv,Pakistan,153,9,South Africa,156,5,female,2014/15,2015/03/17,Pakistan Women v South Africa Women ODI Series,"""ICC Women's Championship",3,Sharjah Cricket Stadium,,true,Pakistan,bat,L Lee,Ahsan Raza,Khalid Mahmood,Akbar Ali,,GF Labrooy,South Africa,,,5,
743977.csv,England,305,6,Australia,246,10,male,2015,2015/09/03,Australia in England ODI Series,,1,The Rose Bowl,Southampton,,Australia,bat,MS Wade,MA Gough,JS Wilson,RT Robinson,HDPK Dharmasena,JJ Crowe,Australia,,59,,
664303.csv,South Africa,177,10,Bangladesh,178,2,female,2013/14,2013/09/24,Bangladesh Women in South Africa ODI Series,,3,SuperSport Park,Centurion,,South Africa,field,T Chetty,RN Birkenstock,BP Jele,A Paleker,,D Govindjee,South Africa,,,8,
542853.csv,England,129,10,India,115,10,female,2012,2012/07/04,India Women in England ODI Series,,2,County Ground,Taunton,,England,field,A Sharma,PK Baldwin,P Willey,,,DT Jukes,India,,14,,
1041523.csv,Bangladesh,251,7,South Africa,157,10,female,2016/17,2017/01/18,South Africa Women in Bangladesh ODI Series,,4,Sheikh Kamal International Cricket Stadium,Cox's Bazar,,South Africa,bat,M du Preez,Anisur Rahman,Tanvir Ahmed,Mahfuzur Rahman,,GF Labrooy,South Africa,,94,,
249235.csv,Australia,292,7,England,200,10,male,2006/07,2007/02/02,,Commonwealth Bank Series,10,Sydney Cricket Ground,,,England,bat,EC Joyce,DJ Harper,IL Howell,RJ Tucker,RL Parry,MJ Procter,England,,92,,
249751.csv,South Africa,219,9,Sri Lanka,141,10,male,2006/07,2006/10/24,,ICC Champions Trophy,13,"""Sardar Patel Stadium",Ahmedabad,true,Sri Lanka,field,SM Pollock,DJ Harper,SJA Taufel,AM Saheba,Aleem Dar,JJ Crowe,South Africa,,78,,
377314.csv,West Indies,188,10,India,192,2,male,2009,2009/06/28,India in West Indies ODI Series,,2,"""Sabina Park",Jamaica,,India,bat,R Rampaul,NJ Llong,NA Malcolm,C Fletcher,CE Mack,BC Broad,West Indies,,,8,
736437.csv,Zimbabwe,309,3,South Africa,216,10,male,2014,2014/08/17,South Africa in Zimbabwe ODI Series,,1,Queens Sports Club,Bulawayo,,Zimbabwe,field,HM Amla,CB Gaffaney,RB Tiffin,C Phiri,TJ Matibiri,RS Mahanama,South Africa,,93,,
636161.csv,Australia,243,9,England,244,3,male,2013/14,2014/01/19,England in Australia ODI Series,,3,Sydney Cricket Ground,,,England,bat,DA Warner,SD Fry,REJ Martinesz,JD Ward,HDPK Dharmasena,RS Madugalle,Australia,,,7,
434262.csv,India,213,10,Sri Lanka,214,2,male,2009/10,2010/01/10,,Tri-Nation Tournament in Bangladesh,5,Shere Bangla National Stadium,Mirpur,true,Sri Lanka,bat,Z Khan,Enamul Haque,IJ Gould,Tanvir Ahmed,Sharfuddoula,AJ Pycroft,India,,,8,
514038.csv,South Africa,299,7,Sri Lanka,304,5,male,2011/12,2012/01/20,Sri Lanka in South Africa ODI Series,,4,De Beers Diamond Oval,Kimberley,,South Africa,bat,NLTC Perera,JD Cloete,BR Doctrove,S George,NJ Llong,JJ Crowe,Sri Lanka,,,5,
647259.csv,India,350,6,Australia,351,4,male,2013/14,2013/10/30,Australia in India ODI Series,,6,"""Vidarbha Cricket Association Stadium",Nagpur,,India,field,V Kohli,NJ Llong,S Ravi,N Pandit,VA Kulkarni,AJ Pycroft,India,,,6,
685731.csv,South Africa,218,9,Pakistan,195,10,male,2013/14,2013/11/24,Pakistan in South Africa ODI Series,,1,Newlands,Cape Town,,Pakistan,bat,Anwar Ali,JD Cloete,CB Gaffaney,S George,BNJ Oxenford,BC Broad,Pakistan,,23,,
648651.csv,South Africa,358,4,India,217,10,male,2013/14,2013/12/05,India in South Africa ODI Series,,1,New Wanderers Stadium,Johannesburg,,India,field,Q de Kock,AT Holdstock,RK Illingworth,S George,JD Cloete,AJ Pycroft,South Africa,,141,,
1085967.csv,Australia,226,7,India,227,2,female,2017,2017/07/12,,ICC Women's World Cup,23,County Ground,Bristol,true,Australia,field,MM Lanning,AT Holdstock,Sharfuddoula,S George,CM Brown,RB Richardson,Australia,,,8,
760793.csv,Bangladesh,256,8,Zimbabwe,235,8,male,2014/15,2014/11/28,Zimbabwe in Bangladesh ODI Series,,4,Shere Bangla National Stadium,Mirpur,,Bangladesh,bat,Mahmudullah,Anisur Rahman,CB Gaffaney,Tanvir Ahmed,Sharfuddoula,RS Madugalle,Bangladesh,,21,,
226375.csv,Australia,228,10,South Africa,231,5,male,2005/06,2006/01/15,VB Series,,2,"""Brisbane Cricket Ground",Brisbane,,Australia,bat,SM Pollock,Aleem Dar,SJA Taufel,,DJ Harper,JJ Crowe,South Africa,,,5,
727919.csv,Australia,255,8,Pakistan,162,10,male,2014/15,2014/10/07,Pakistan v Australia ODI Series,,1,Sharjah Cricket Stadium,,true,Australia,bat,SPD Smith,Ahsan Raza,RK Illingworth,Ahmed Shahab,NJ Llong,J Srinath,Australia,,93,,
743973.csv,Ireland,222,6,Australia,157,10,male,2015,2015/08/27,,,,"""Civil Service Cricket Club",Belfast,,Australia,bat,DA Warner,M Hawthorne,JS Wilson,DA Haggo,S Ravi,JJ Crowe,Australia,,23,,D/L
812645.csv,Afghanistan,213,7,Scotland,63,10,male,2014/15,2015/01/14,,Dubai Triangular Series,4,Sheikh Zayed Stadium,Abu Dhabi,true,Scotland,bat,JH Davey,VA Kulkarni,Sharfuddoula,Ahmed Shahab,,GF Labrooy,Scotland,,150,,
919607.csv,Zimbabwe,259,6,Pakistan,128,10,male,2015/16,2015/10/01,Pakistan in Zimbabwe ODI Series,,1,Harare Sports Club,,,Zimbabwe,field,Yasir Shah,RSA Palliyaguruge,RB Tiffin,I Chabi,L Rusere,DT Jukes,Pakistan,,131,,
895813.csv,Australia,348,8,India,323,10,male,2015/16,2016/01/20,India in Australia ODI Series,,4,Manuka Oval,Canberra,,Australia,bat,KW Richardson,RA Kettleborough,JD Ward,SJ Nogajski,P Wilson,JJ Crowe,Australia,,25,,
932855.csv,Australia,288,6,South Africa,252,10,male,2016,2016/06/11,West Indies Tri-Nation Series,,4,"""Warner Park",St Kitts,true,Australia,bat,DA Warner,NJ Llong,JS Wilson,GO Brathwaite,RK Illingworth,JJ Crowe,Australia,,36,,
895815.csv,Australia,330,7,India,331,4,male,2015/16,2016/01/23,India in Australia ODI Series,,5,Sydney Cricket Ground,,,India,field,MK Pandey,RA Kettleborough,P Wilson,GA Abood,JD Ward,JJ Crowe,India,,,6,
464991.csv,Sri Lanka,203,10,West Indies,199,2,male,2010/11,2011/02/03,West Indies in Sri Lanka ODI Series,,2,Sinhalese Sports Club Ground,Colombo,,Sri Lanka,field,WU Tharanga,HDPK Dharmasena,BNJ Oxenford,RMPJ Rambukwella,REJ Martinesz,AJ Pycroft,Sri Lanka,,,8,D/L
754815.csv,Australia,275,5,West Indies,127,9,female,2014/15,2014/11/18,West Indies Women in Australia ODI Series,,4,Bradman Oval,Bowral,,Australia,bat,EA Perry,PJ Gillespie,AK Wilds,,,DJ Harper,Australia,,148,,
1098208.csv,West Indies,251,4,India,158,10,male,2017,2017/06/30,India in West Indies ODI Series,,3,"""Sir Vivian Richards Stadium",Antigua,,West Indies,field,MS Dhoni,HDPK Dharmasena,N Duguid,JS Wilson,CB Gaffaney,DC Boon,India,,93,,
913445.csv,Guernsey,173,10,Norway,151,10,male,2015,2015/09/11,,ICC World Cricket League Division Six,,Ashlyns Road,Frinton-on-Sea,true,Guernsey,bat,DR Hooper,R Black,Sarika Prasad,MB Gray,,GF Labrooy,Guernsey,,22,,
518960.csv,India,236,9,Sri Lanka,236,9,male,2011/12,2012/02/14,,Commonwealth Bank Series,5,Adelaide Oval,,true,Sri Lanka,bat,MS Dhoni,SD Fry,NJ Llong,,BNJ Oxenford,AJ Pycroft,,tie,,,
300427.csv,New Zealand,335,5,Bangladesh,181,6,male,2007/08,2007/12/28,Bangladesh in New Zealand ODI Series,,2,McLean Park,Napier,,New Zealand,bat,PG Fulton,AL Hill,PD Parker,GAV Baxter,EA Watkin,BC Broad,New Zealand,,102,,D/L
426722.csv,New Zealand,211,10,Pakistan,204,10,male,2009/10,2009/11/09,Pakistan v New Zealand ODI Series,,3,Sheikh Zayed Stadium,Abu Dhabi,true,New Zealand,bat,Mohammad Amir,Nadeem Ghauri,BNJ Oxenford,Ahsan Raza,Zameer Haider,AJ Pycroft,New Zealand,,7,,
258473.csv,England,281,8,India,239,10,male,2007,2007/08/27,NatWest Series,,3,Edgbaston,Birmingham,,India,field,IR Bell,MR Benson,BR Doctrove,NJ Llong,PJ Hartley,RS Mahanama,England,,42,,
293481.csv,Sri Lanka,234,6,Bangladesh,164,10,male,2007,2007/07/20,Bangladesh in Sri Lanka ODI Series,,1,P Saravanamuttu Stadium,Colombo,,Bangladesh,field,CRD Fernando,EAR de Silva,RE Koertzen,AG Dissanayake,TH Wijewardene,JJ Crowe,Sri Lanka,,70,,
1085947.csv,Pakistan,206,8,South Africa,207,7,female,2017,2017/06/25,,ICC Women's World Cup,3,Grace Road,Leicester,true,South Africa,field,S Ismail,L Rusere,Sharfuddoula,JM Williams,,SR Bernard,South Africa,,,3,
810833.csv,Afghanistan,246,8,Ireland,175,10,male,2014/15,2015/01/17,,Dubai Triangular Series,5,Dubai International Cricket Stadium,,true,Ireland,field,Najibullah Zadran,Ahmed Shahab,VA Kulkarni,Sharfuddoula,,GF Labrooy,Afghanistan,,71,,
522250.csv,Zimbabwe,253,6,Bangladesh,160,9,male,2011,2011/08/21,Bangladesh in Zimbabwe ODI Series,,5,Queens Sports Club,Bulawayo,,Zimbabwe,field,Shakib Al Hasan,O Chirombe,HDPK Dharmasena,T Phiri,TJ Matibiri,RS Mahanama,Bangladesh,,93,,
522248.csv,Zimbabwe,250,7,Bangladesh,245,10,male,2011,2011/08/16,Bangladesh in Zimbabwe ODI Series,,3,Harare Sports Club,,,Bangladesh,field,Mushfiqur Rahim,HDPK Dharmasena,RB Tiffin,L Rusere,TJ Matibiri,RS Mahanama,Zimbabwe,,5,,
489224.csv,West Indies,249,8,India,146,10,male,2011,2011/06/13,India in West Indies ODI Series,,4,"""Sir Vivian Richards Stadium",Antigua,,India,field,A Martin,IJ Gould,NA Malcolm,JS Wilson,GO Brathwaite,JJ Crowe,West Indies,,103,,
562439.csv,Sri Lanka,135,8,Pakistan,135,4,male,2012,2012/06/07,Pakistan in Sri Lanka ODI Series,,1,Pallekele International Cricket Stadium,,,Sri Lanka,bat,Umar Gul,REJ Martinesz,PR Reiffel,TH Wijewardene,RSA Palliyaguruge,BC Broad,Pakistan,,,6,D/L
282688.csv,Bangladesh,250,7,India,251,5,male,2007,2007/05/10,India in Bangladesh ODI Series,,1,Shere Bangla National Stadium,Mirpur,,Bangladesh,bat,MS Dhoni,EAR de Silva,Nadir Shah,Syed Mahabubullah,AFM Akhtaruddin,RS Mahanama,India,,,5,
667895.csv,England,300,9,Sri Lanka,293,8,male,2014,2014/05/31,Sri Lanka in England ODI Series,,4,Lord's,London,,England,field,JC Buttler,M Erasmus,IJ Gould,RJ Bailey,CB Gaffaney,JJ Crowe,Sri Lanka,,7,,
452149.csv,Zimbabwe,194,9,India,197,3,male,2010,2010/06/03,,Zimbabwe Triangular Series,4,Harare Sports Club,,,Zimbabwe,field,BRM Taylor,O Chirombe,RE Koertzen,L Rusere,RB Tiffin,JJ Crowe,Zimbabwe,,,7,
1144496.csv,Australia,352,5,India,316,10,male,2019,2019/06/09,,World Cup,14,Kennington Oval,London,,India,bat,S Dhawan,IJ Gould,CB Gaffaney,RSA Palliyaguruge,NJ Llong,AJ Pycroft,India,,36,,
416240.csv,India,350,4,Australia,347,10,male,2009/10,2009/11/05,Australia in India ODI Series,,5,"""Rajiv Gandhi International Stadium",Hyderabad,,Australia,bat,SR Tendulkar,EAR de Silva,SK Tarapore,S Ravi,SS Hazare,BC Broad,Australia,,3,,
1089144.csv,Nigeria,181,10,Sierra Leone,90,10,male,2017,2017/04/10,,ICC World Cricket League Africa Region Qualifiers,9,Willowmoore Park C Field,Benoni,true,Nigeria,bat,OA Olympio,F Ekalunga,A Louw,R D'Mello,,D Govindjee,Nigeria,,91,,
643667.csv,Zimbabwe,294,8,India,236,9,male,2013,2013/07/26,India in Zimbabwe ODI Series,,2,Harare Sports Club,,,Zimbabwe,field,S Dhawan,O Chirombe,BNJ Oxenford,I Chabi,RB Tiffin,BC Broad,India,,58,,
979835.csv,Tanzania,149,10,Vanuatu,150,3,male,2016,2016/05/27,,ICC World Cricket League Division Five,,Grainville,St Saviour,true,Vanuatu,bat,,M Hawthorne,Tabarak Dar,S Redfern,,DT Jukes,Tanzania,,,7,
352667.csv,West Indies,117,10,England,117,2,male,2008/09,2009/03/27,England in West Indies ODI Series,,3,"""Kensington Oval",Barbados,,West Indies,field,DJ Bravo,SA Bucknor,SJ Davis,VV Bullen,NA Malcolm,J Srinath,West Indies,,,8,D/L
366711.csv,New Zealand,128,10,West Indies,129,3,male,2008/09,2009/01/07,West Indies in New Zealand ODI Series,,3,Westpac Stadium,Wellington,,New Zealand,field,DL Vettori,MR Benson,AL Hill,EA Watkin,GAV Baxter,J Srinath,New Zealand,,,7,
593724.csv,England,256,6,Australia,205,10,female,2013,2013/08/23,Women's Ashes,,2,County Ground,Hove,,England,bat,A Shrubsole,MJD Bodenham,PJ Hartley,,,DT Jukes,England,,51,,
325801.csv,Pakistan,238,8,Zimbabwe,239,5,male,2007/08,2008/01/24,Zimbabwe in Pakistan ODI Series,,2,"""Niaz Stadium",Sind,,Zimbabwe,bat,Sohail Tanvir,EAR de Silva,Nadeem Ghauri,Ahmed Shahab,Riazuddin,BC Broad,Pakistan,,,5,
351689.csv,Australia,181,10,New Zealand,182,8,male,2008/09,2009/02/01,Chappell-Hadlee Trophy,,1,Western Australia Cricket Association Ground,Perth,,Australia,bat,KD Mills,SA Bucknor,BNJ Oxenford,,PR Reiffel,RS Mahanama,New Zealand,,,2,
392617.csv,Australia,207,10,Pakistan,208,4,male,2009,2009/04/24,Australia v Pakistan ODI Series,,2,Dubai Sports City Cricket Stadium,,true,Pakistan,bat,A Symonds,Asad Rauf,BF Bowden,Nadeem Ghauri,Zameer Haider,JJ Crowe,Australia,,,6,
439141.csv,West Indies,206,10,Zimbabwe,208,6,male,2009/10,2010/03/06,Zimbabwe in West Indies ODI Series,,2,Providence Stadium,Guyana,,Zimbabwe,bat,N Deonarine,CR Duncan,SJA Taufel,D Somwaru,NA Malcolm,RS Mahanama,West Indies,,,4,
656415.csv,New Zealand,123,10,England,125,2,male,2014/15,2015/02/20,,ICC Cricket World Cup,9,Westpac Stadium,Wellington,,England,bat,TG Southee,PR Reiffel,RJ Tucker,RSA Palliyaguruge,BNJ Oxenford,RS Mahanama,New Zealand,,,8,
1062502.csv,United States of America,185,5,Italy,186,9,male,2016/17,2016/10/30,,ICC World Cricket League Division Four,,"""Wong Cricket Field",Los Angeles,,Italy,bat,TP Allen,Iftikhar Ali,CM Tuckett,JM Williams,,D Govindjee,United States of America,,,1,
594907.csv,Australia,131,10,Sri Lanka,132,1,female,2012/13,2013/02/10,,ICC Women's World Cup,16,Brabourne Stadium,Mumbai,true,Australia,field,EA Osborne,K Cross,VA Kulkarni,Sarika Prasad,S George,DT Jukes,Australia,,,9,
297801.csv,India,239,7,Pakistan,242,5,male,2007/08,2007/11/05,Pakistan in India ODI Series,,1,Nehru Stadium,Guwahati,,Pakistan,bat,MS Dhoni,IJ Gould,AM Saheba,MSS Ranawat,GA Pratapkumar,RS Mahanama,India,,,5,
523804.csv,Ireland,328,6,Canada,195,10,male,2011,2011/09/19,,"""ICC World Cricket League Championship",11,Clontarf Cricket Club Ground,Dublin,,Canada,field,,NG Bagh,M Hawthorne,AA Baig,,DT Jukes,Ireland,,133,,
426428.csv,England,274,6,Pakistan,250,9,male,2010,2010/09/10,NatWest Series,,1,Riverside Ground,Chester-le-Street,,Pakistan,field,SM Davies,BR Doctrove,IJ Gould,RK Illingworth,RA Kettleborough,JJ Crowe,England,,24,,
1073401.csv,Sri Lanka,259,4,India,145,8,female,2016/17,2017/02/07,,ICC Women's World Cup Qualifier,1,P Sara Oval,Colombo,,India,bat,DP Vaidya,CA Polosak,LS Reifer,M Hawthorne,,,India,,114,,
936163.csv,South Africa,163,10,Sri Lanka,164,3,male,2016/17,2017/02/04,Sri Lanka in South Africa ODI Series,,3,New Wanderers Stadium,Johannesburg,,South Africa,field,D Pretorius,AT Holdstock,RA Kettleborough,S George,RK Illingworth,RB Richardson,South Africa,,,7,
1085964.csv,Sri Lanka,229,9,West Indies,182,10,female,2017,2017/07/09,,ICC Women's World Cup,20,County Ground,Derby,true,Sri Lanka,field,A Mohammed,S George,CA Polosak,P Wilson,,DT Jukes,West Indies,,47,,
249756.csv,India,249,8,Australia,252,4,male,2006/07,2006/10/29,,ICC Champions Trophy,18,"""Punjab Cricket Association Stadium",Chandigarh,,India,bat,DR Martyn,BF Bowden,SA Bucknor,RE Koertzen,MR Benson,RS Madugalle,Australia,,,6,
247498.csv,Bangladesh,243,7,Ireland,169,10,male,2006/07,2007/04/15,,ICC World Cup,42,"""Kensington Oval",Barbados,true,Ireland,bat,WTS Porterfield,BF Bowden,SA Bucknor,RE Koertzen,SJA Taufel,JJ Crowe,Ireland,,74,,
249211.csv,South Africa,248,8,India,91,10,male,2006/07,2006/11/22,India in South Africa ODI Series,,2,Kingsmead,Durban,,South Africa,bat,JH Kallis,BR Doctrove,IL Howell,S George,BG Jerling,BC Broad,South Africa,,157,,
578614.csv,India,331,7,South Africa,305,10,male,2013,2013/06/06,,ICC Champions Trophy,1,Sophia Gardens,Cardiff,true,South Africa,field,S Dhawan,IJ Gould,BNJ Oxenford,BF Bowden,RJ Tucker,AJ Pycroft,India,,26,,
935823.csv,South Africa,273,7,New Zealand,147,10,female,2016/17,2016/10/24,New Zealand Women in South Africa ODI Series,,7,Boland Park,Paarl,,New Zealand,bat,KJ Martin,A Paleker,BM White,RN Hendricks,,GH Pienaar,New Zealand,,126,,
742625.csv,New Zealand,299,5,Pakistan,292,8,male,2014/15,2014/12/17,Pakistan v New Zealand ODI Series,,4,Sheikh Zayed Stadium,Abu Dhabi,true,New Zealand,bat,KS Williamson,RK Illingworth,Shozab Raza,Ahsan Raza,JS Wilson,RS Mahanama,New Zealand,,7,,
467884.csv,India,258,8,New Zealand,259,2,male,2010/11,2010/12/01,New Zealand in India ODI Series,,2,Sawai Mansingh Stadium,Jaipur,,India,field,G Gambhir,SS Hazare,NJ Llong,VA Kulkarni,S Asnani,RS Mahanama,India,,,8,
